,id,date,author,location,likes,retweets,polarity,subjectivity,emoji_all,emoji_num,tweet
0,1327125682963550209,2020-11-13 05:46:34,Easy_Branches,Global - Worldwide IP Location,0,1,0.0,1.0,set(),0,"b'RT @easyproperty: Foreigner Freehold Condo on the 7 floor in Kata Phuket: Indeed, its location by itself is a key selling point; located in\\u2026'"
1,1327125681336176640,2020-11-13 05:46:33,scotttravb,,0,6349,0.13636363636363635,0.45454545454545453,set(),0,"b'RT @SenKamalaHarris: Yesterday, the United States reported a record number of new coronavirus cases. Doctors and nurses continue to be over\\u2026'"
2,1327125680237244416,2020-11-13 05:46:33,dotthedragon,"Sedona, AZ",0,229,0.8,0.9,set(),0,b'RT @MollyNagle3: Incoming WH chief of staff @RonaldKlain says President-elect @JoeBiden \\u201cwill have a COVID coordinator who works in the Whi\\u2026'
3,1327125677393518592,2020-11-13 05:46:32,quitdithering,Stolen Kumeyaay land,0,26,-0.8499999999999999,0.8333333333333333,set(),0,"b'RT @AnaMardoll: Uniquely horrific stories of the police have a way of being dismissed as ""bad apples"" that need to be weeded out. \\n\\n""Here i\\u2026'"
4,1327125675568992256,2020-11-13 05:46:32,Rosewind2007,U.K. ,0,0,0.0,0.0,set(),0,"b'@DanBeale1 @CJforeveryoung @ProfLAppleby @NCISH_UK The is, as you say, a lot of distress at the moment.\\nWe do need\\u2026 https://t.co/IIBj6ZBQEo'"
5,1327125674348470272,2020-11-13 05:46:32,Jojo26586177,,0,4,0.0,0.0,set(),0,"b'RT @ToniC8: Both Tucker Carlson, and Jimmy dore, are antagonizing trump to pull the troops out of Afghanistan, against the advice of McConn\\u2026'"
6,1327125673585090562,2020-11-13 05:46:32,Kalle_Style,somewhere in the $OCEAN ,0,16,0.0,0.0,set(),0,b'RT @dltMOBI: This lecture by @BrucePon on @oceanprotocol V3 promises to be a sellout! The core component of Ocean V3 is the #datatoken whic\\u2026'
7,1327125671437602816,2020-11-13 05:46:31,Reality08387397,,0,3,0.2,0.2,set(),0,"b'RT @ShrutiJ92884908: #CBIFile302InSSRCase\\nTomorrow, on the occasion of Diwali it will be 5 months of ur death Sush..\\nWe really miss u alot.\\u2026'"
8,1327125670724579329,2020-11-13 05:46:31,NLSINGH18,,0,49,0.31363636363636366,0.7227272727272727,set(),0,"b'RT @hkaur0353: Focus on an ocean of positives, not a puddle of negatives. The world needs huge positive energy to fight against the negativ\\u2026'"
9,1327125670087028736,2020-11-13 05:46:31,olbyh,,0,6409,0.045833333333333316,0.5625,set(),0,b'RT @KamalaHarris: Too many people are grieving the devastating loss of a loved one due to COVID\\u2014many of whom were forced to die alone. It s\\u2026'
